nm,Abs,
700.00,  0.026,
698.00,  0.026,
696.00,  0.027,
694.00,  0.028,
692.00,  0.029,
690.00,  0.029,
688.00,  0.030,
686.00,  0.031,
684.00,  0.032,
682.00,  0.032,
680.00,  0.033,
678.00,  0.034,
676.00,  0.035,
674.00,  0.036,
672.00,  0.037,
670.00,  0.038,
668.00,  0.039,
666.00,  0.040,
664.00,  0.041,
662.00,  0.042,
660.00,  0.043,
658.00,  0.044,
656.00,  0.045,
654.00,  0.046,
652.00,  0.047,
650.00,  0.049,
648.00,  0.050,
646.00,  0.051,
644.00,  0.052,
642.00,  0.053,
640.00,  0.054,
638.00,  0.056,
636.00,  0.057,
634.00,  0.058,
632.00,  0.059,
630.00,  0.061,
628.00,  0.062,
626.00,  0.063,
624.00,  0.065,
622.00,  0.066,
620.00,  0.068,
618.00,  0.069,
616.00,  0.070,
614.00,  0.072,
612.00,  0.073,
610.00,  0.075,
608.00,  0.076,
606.00,  0.077,
604.00,  0.079,
602.00,  0.080,
600.00,  0.081,
598.00,  0.083,
596.00,  0.085,
594.00,  0.086,
592.00,  0.087,
590.00,  0.089,
588.00,  0.091,
586.00,  0.092,
584.00,  0.093,
582.00,  0.095,
580.00,  0.096,
578.00,  0.098,
576.00,  0.099,
574.00,  0.101,
572.00,  0.102,
570.00,  0.103,
568.00,  0.104,
566.00,  0.106,
564.00,  0.107,
562.00,  0.108,
560.00,  0.110,
558.00,  0.110,
556.00,  0.112,
554.00,  0.113,
552.00,  0.114,
550.00,  0.114,
548.00,  0.115,
546.00,  0.116,
544.00,  0.117,
542.00,  0.118,
540.00,  0.118,
538.00,  0.119,
536.00,  0.119,
534.00,  0.120,
532.00,  0.120,
530.00,  0.121,
528.00,  0.121,
526.00,  0.121,
524.00,  0.121,
522.00,  0.122,
520.00,  0.122,
518.00,  0.122,
516.00,  0.122,
514.00,  0.122,
512.00,  0.122,
510.00,  0.122,
508.00,  0.122,
506.00,  0.121,
504.00,  0.124,
502.00,  0.123,
500.00,  0.123,
498.00,  0.122,
496.00,  0.122,
494.00,  0.121,
492.00,  0.120,
490.00,  0.120,
488.00,  0.119,
486.00,  0.118,
484.00,  0.117,
482.00,  0.116,
480.00,  0.115,
478.00,  0.114,
476.00,  0.113,
474.00,  0.112,
472.00,  0.111,
470.00,  0.109,
468.00,  0.108,
466.00,  0.107,
464.00,  0.106,
462.00,  0.104,
460.00,  0.103,
458.00,  0.102,
456.00,  0.101,
454.00,  0.100,
452.00,  0.099,
450.00,  0.098,
448.00,  0.097,
446.00,  0.097,
444.00,  0.096,
442.00,  0.096,
440.00,  0.096,
438.00,  0.096,
436.00,  0.096,
434.00,  0.096,
432.00,  0.097,
430.00,  0.097,
428.00,  0.098,
426.00,  0.099,
424.00,  0.100,
422.00,  0.100,
420.00,  0.102,
418.00,  0.104,
416.00,  0.104,
414.00,  0.107,
412.00,  0.109,
410.00,  0.112,
408.00,  0.115,
406.00,  0.118,
404.00,  0.121,
402.00,  0.125,
400.00,  0.129,
