nm,Abs,
700.00,  0.047,
698.00,  0.048,
696.00,  0.049,
694.00,  0.050,
692.00,  0.052,
690.00,  0.053,
688.00,  0.055,
686.00,  0.056,
684.00,  0.058,
682.00,  0.059,
680.00,  0.061,
678.00,  0.063,
676.00,  0.065,
674.00,  0.066,
672.00,  0.068,
670.00,  0.070,
668.00,  0.072,
666.00,  0.074,
664.00,  0.076,
662.00,  0.078,
660.00,  0.079,
658.00,  0.081,
656.00,  0.083,
654.00,  0.086,
652.00,  0.088,
650.00,  0.090,
648.00,  0.092,
646.00,  0.094,
644.00,  0.097,
642.00,  0.099,
640.00,  0.101,
638.00,  0.104,
636.00,  0.106,
634.00,  0.109,
632.00,  0.111,
630.00,  0.114,
628.00,  0.116,
626.00,  0.119,
624.00,  0.122,
622.00,  0.124,
620.00,  0.127,
618.00,  0.129,
616.00,  0.132,
614.00,  0.135,
612.00,  0.137,
610.00,  0.140,
608.00,  0.143,
606.00,  0.145,
604.00,  0.148,
602.00,  0.151,
600.00,  0.154,
598.00,  0.156,
596.00,  0.159,
594.00,  0.162,
592.00,  0.164,
590.00,  0.167,
588.00,  0.170,
586.00,  0.172,
584.00,  0.175,
582.00,  0.177,
580.00,  0.180,
578.00,  0.182,
576.00,  0.185,
574.00,  0.187,
572.00,  0.189,
570.00,  0.191,
568.00,  0.194,
566.00,  0.196,
564.00,  0.198,
562.00,  0.200,
560.00,  0.202,
558.00,  0.204,
556.00,  0.205,
554.00,  0.207,
552.00,  0.208,
550.00,  0.210,
548.00,  0.211,
546.00,  0.212,
544.00,  0.213,
542.00,  0.214,
540.00,  0.215,
538.00,  0.216,
536.00,  0.216,
534.00,  0.217,
532.00,  0.217,
530.00,  0.217,
528.00,  0.217,
526.00,  0.216,
524.00,  0.216,
522.00,  0.216,
520.00,  0.215,
518.00,  0.215,
516.00,  0.214,
514.00,  0.213,
512.00,  0.213,
510.00,  0.211,
508.00,  0.210,
506.00,  0.209,
504.00,  0.213,
502.00,  0.211,
500.00,  0.210,
498.00,  0.208,
496.00,  0.206,
494.00,  0.203,
492.00,  0.201,
490.00,  0.199,
488.00,  0.196,
486.00,  0.193,
484.00,  0.191,
482.00,  0.188,
480.00,  0.185,
478.00,  0.182,
476.00,  0.179,
474.00,  0.175,
472.00,  0.172,
470.00,  0.169,
468.00,  0.166,
466.00,  0.163,
464.00,  0.159,
462.00,  0.156,
460.00,  0.152,
458.00,  0.149,
456.00,  0.145,
454.00,  0.141,
452.00,  0.138,
450.00,  0.135,
448.00,  0.131,
446.00,  0.128,
444.00,  0.125,
442.00,  0.122,
440.00,  0.119,
438.00,  0.115,
436.00,  0.112,
434.00,  0.109,
432.00,  0.107,
430.00,  0.104,
428.00,  0.102,
426.00,  0.100,
424.00,  0.098,
422.00,  0.095,
420.00,  0.094,
418.00,  0.093,
416.00,  0.090,
414.00,  0.089,
412.00,  0.089,
410.00,  0.089,
408.00,  0.088,
406.00,  0.089,
404.00,  0.089,
402.00,  0.090,
400.00,  0.089,
