nm,Abs,
700.00,  0.049,
698.00,  0.050,
696.00,  0.052,
694.00,  0.053,
692.00,  0.055,
690.00,  0.056,
688.00,  0.057,
686.00,  0.059,
684.00,  0.061,
682.00,  0.062,
680.00,  0.064,
678.00,  0.066,
676.00,  0.067,
674.00,  0.069,
672.00,  0.071,
670.00,  0.073,
668.00,  0.075,
666.00,  0.077,
664.00,  0.079,
662.00,  0.081,
660.00,  0.083,
658.00,  0.085,
656.00,  0.087,
654.00,  0.089,
652.00,  0.091,
650.00,  0.093,
648.00,  0.096,
646.00,  0.098,
644.00,  0.100,
642.00,  0.103,
640.00,  0.105,
638.00,  0.107,
636.00,  0.110,
634.00,  0.112,
632.00,  0.115,
630.00,  0.118,
628.00,  0.120,
626.00,  0.123,
624.00,  0.126,
622.00,  0.128,
620.00,  0.131,
618.00,  0.134,
616.00,  0.136,
614.00,  0.139,
612.00,  0.142,
610.00,  0.144,
608.00,  0.147,
606.00,  0.150,
604.00,  0.153,
602.00,  0.155,
600.00,  0.158,
598.00,  0.161,
596.00,  0.164,
594.00,  0.166,
592.00,  0.169,
590.00,  0.172,
588.00,  0.175,
586.00,  0.177,
584.00,  0.180,
582.00,  0.183,
580.00,  0.185,
578.00,  0.188,
576.00,  0.190,
574.00,  0.192,
572.00,  0.195,
570.00,  0.197,
568.00,  0.199,
566.00,  0.202,
564.00,  0.204,
562.00,  0.206,
560.00,  0.208,
558.00,  0.210,
556.00,  0.211,
554.00,  0.213,
552.00,  0.215,
550.00,  0.216,
548.00,  0.217,
546.00,  0.219,
544.00,  0.220,
542.00,  0.221,
540.00,  0.222,
538.00,  0.223,
536.00,  0.224,
534.00,  0.224,
532.00,  0.224,
530.00,  0.224,
528.00,  0.224,
526.00,  0.224,
524.00,  0.224,
522.00,  0.224,
520.00,  0.223,
518.00,  0.223,
516.00,  0.223,
514.00,  0.222,
512.00,  0.221,
510.00,  0.221,
508.00,  0.219,
506.00,  0.218,
504.00,  0.222,
502.00,  0.221,
500.00,  0.219,
498.00,  0.218,
496.00,  0.216,
494.00,  0.214,
492.00,  0.212,
490.00,  0.210,
488.00,  0.207,
486.00,  0.205,
484.00,  0.202,
482.00,  0.199,
480.00,  0.197,
478.00,  0.193,
476.00,  0.191,
474.00,  0.188,
472.00,  0.185,
470.00,  0.181,
468.00,  0.178,
466.00,  0.175,
464.00,  0.172,
462.00,  0.169,
460.00,  0.166,
458.00,  0.163,
456.00,  0.159,
454.00,  0.156,
452.00,  0.153,
450.00,  0.150,
448.00,  0.147,
446.00,  0.144,
444.00,  0.141,
442.00,  0.138,
440.00,  0.136,
438.00,  0.133,
436.00,  0.131,
434.00,  0.129,
432.00,  0.127,
430.00,  0.125,
428.00,  0.124,
426.00,  0.123,
424.00,  0.121,
422.00,  0.119,
420.00,  0.119,
418.00,  0.119,
416.00,  0.118,
414.00,  0.117,
412.00,  0.119,
410.00,  0.119,
408.00,  0.121,
406.00,  0.122,
404.00,  0.124,
402.00,  0.126,
400.00,  0.127,
