nm,Abs,
700.00,  0.038,
698.00,  0.039,
696.00,  0.040,
694.00,  0.041,
692.00,  0.042,
690.00,  0.043,
688.00,  0.044,
686.00,  0.046,
684.00,  0.047,
682.00,  0.048,
680.00,  0.050,
678.00,  0.051,
676.00,  0.053,
674.00,  0.054,
672.00,  0.055,
670.00,  0.057,
668.00,  0.058,
666.00,  0.060,
664.00,  0.062,
662.00,  0.063,
660.00,  0.065,
658.00,  0.066,
656.00,  0.068,
654.00,  0.070,
652.00,  0.071,
650.00,  0.073,
648.00,  0.075,
646.00,  0.077,
644.00,  0.079,
642.00,  0.081,
640.00,  0.082,
638.00,  0.084,
636.00,  0.086,
634.00,  0.088,
632.00,  0.090,
630.00,  0.092,
628.00,  0.095,
626.00,  0.096,
624.00,  0.098,
622.00,  0.101,
620.00,  0.103,
618.00,  0.105,
616.00,  0.107,
614.00,  0.109,
612.00,  0.111,
610.00,  0.113,
608.00,  0.116,
606.00,  0.118,
604.00,  0.120,
602.00,  0.122,
600.00,  0.124,
598.00,  0.127,
596.00,  0.129,
594.00,  0.131,
592.00,  0.133,
590.00,  0.135,
588.00,  0.137,
586.00,  0.139,
584.00,  0.141,
582.00,  0.143,
580.00,  0.145,
578.00,  0.148,
576.00,  0.150,
574.00,  0.151,
572.00,  0.153,
570.00,  0.155,
568.00,  0.157,
566.00,  0.159,
564.00,  0.161,
562.00,  0.162,
560.00,  0.164,
558.00,  0.165,
556.00,  0.167,
554.00,  0.168,
552.00,  0.170,
550.00,  0.171,
548.00,  0.172,
546.00,  0.173,
544.00,  0.175,
542.00,  0.176,
540.00,  0.176,
538.00,  0.177,
536.00,  0.178,
534.00,  0.178,
532.00,  0.179,
530.00,  0.179,
528.00,  0.179,
526.00,  0.180,
524.00,  0.180,
522.00,  0.180,
520.00,  0.180,
518.00,  0.180,
516.00,  0.180,
514.00,  0.180,
512.00,  0.179,
510.00,  0.179,
508.00,  0.178,
506.00,  0.177,
504.00,  0.181,
502.00,  0.180,
500.00,  0.180,
498.00,  0.178,
496.00,  0.177,
494.00,  0.176,
492.00,  0.175,
490.00,  0.173,
488.00,  0.172,
486.00,  0.170,
484.00,  0.168,
482.00,  0.166,
480.00,  0.164,
478.00,  0.162,
476.00,  0.160,
474.00,  0.158,
472.00,  0.156,
470.00,  0.154,
468.00,  0.152,
466.00,  0.150,
464.00,  0.147,
462.00,  0.145,
460.00,  0.143,
458.00,  0.141,
456.00,  0.138,
454.00,  0.136,
452.00,  0.134,
450.00,  0.133,
448.00,  0.131,
446.00,  0.129,
444.00,  0.128,
442.00,  0.126,
440.00,  0.125,
438.00,  0.124,
436.00,  0.123,
434.00,  0.122,
432.00,  0.122,
430.00,  0.122,
428.00,  0.122,
426.00,  0.122,
424.00,  0.122,
422.00,  0.122,
420.00,  0.123,
418.00,  0.124,
416.00,  0.124,
414.00,  0.125,
412.00,  0.128,
410.00,  0.130,
408.00,  0.132,
406.00,  0.135,
404.00,  0.138,
402.00,  0.141,
400.00,  0.144,
