nm,Abs,
700.00,  0.031,
698.00,  0.032,
696.00,  0.033,
694.00,  0.034,
692.00,  0.035,
690.00,  0.036,
688.00,  0.037,
686.00,  0.038,
684.00,  0.039,
682.00,  0.040,
680.00,  0.041,
678.00,  0.043,
676.00,  0.044,
674.00,  0.045,
672.00,  0.046,
670.00,  0.047,
668.00,  0.048,
666.00,  0.050,
664.00,  0.051,
662.00,  0.053,
660.00,  0.054,
658.00,  0.055,
656.00,  0.057,
654.00,  0.058,
652.00,  0.059,
650.00,  0.061,
648.00,  0.062,
646.00,  0.064,
644.00,  0.066,
642.00,  0.067,
640.00,  0.069,
638.00,  0.070,
636.00,  0.072,
634.00,  0.074,
632.00,  0.076,
630.00,  0.077,
628.00,  0.079,
626.00,  0.081,
624.00,  0.083,
622.00,  0.085,
620.00,  0.086,
618.00,  0.088,
616.00,  0.090,
614.00,  0.092,
612.00,  0.094,
610.00,  0.096,
608.00,  0.098,
606.00,  0.100,
604.00,  0.101,
602.00,  0.103,
600.00,  0.105,
598.00,  0.107,
596.00,  0.109,
594.00,  0.111,
592.00,  0.112,
590.00,  0.114,
588.00,  0.116,
586.00,  0.118,
584.00,  0.120,
582.00,  0.121,
580.00,  0.123,
578.00,  0.125,
576.00,  0.127,
574.00,  0.128,
572.00,  0.130,
570.00,  0.131,
568.00,  0.133,
566.00,  0.134,
564.00,  0.136,
562.00,  0.137,
560.00,  0.138,
558.00,  0.139,
556.00,  0.141,
554.00,  0.142,
552.00,  0.143,
550.00,  0.144,
548.00,  0.144,
546.00,  0.145,
544.00,  0.146,
542.00,  0.147,
540.00,  0.147,
538.00,  0.148,
536.00,  0.148,
534.00,  0.148,
532.00,  0.149,
530.00,  0.148,
528.00,  0.148,
526.00,  0.148,
524.00,  0.148,
522.00,  0.148,
520.00,  0.147,
518.00,  0.147,
516.00,  0.147,
514.00,  0.146,
512.00,  0.145,
510.00,  0.145,
508.00,  0.144,
506.00,  0.143,
504.00,  0.145,
502.00,  0.144,
500.00,  0.143,
498.00,  0.142,
496.00,  0.140,
494.00,  0.139,
492.00,  0.137,
490.00,  0.136,
488.00,  0.134,
486.00,  0.132,
484.00,  0.130,
482.00,  0.128,
480.00,  0.126,
478.00,  0.124,
476.00,  0.121,
474.00,  0.119,
472.00,  0.117,
470.00,  0.115,
468.00,  0.112,
466.00,  0.110,
464.00,  0.108,
462.00,  0.105,
460.00,  0.103,
458.00,  0.101,
456.00,  0.098,
454.00,  0.096,
452.00,  0.093,
450.00,  0.091,
448.00,  0.088,
446.00,  0.086,
444.00,  0.084,
442.00,  0.081,
440.00,  0.079,
438.00,  0.077,
436.00,  0.075,
434.00,  0.073,
432.00,  0.071,
430.00,  0.069,
428.00,  0.068,
426.00,  0.066,
424.00,  0.064,
422.00,  0.062,
420.00,  0.061,
418.00,  0.061,
416.00,  0.059,
414.00,  0.058,
412.00,  0.058,
410.00,  0.058,
408.00,  0.057,
406.00,  0.057,
404.00,  0.057,
402.00,  0.058,
400.00,  0.057,
