nm,Abs,
700.00,  0.016,
698.00,  0.016,
696.00,  0.017,
694.00,  0.018,
692.00,  0.019,
690.00,  0.020,
688.00,  0.021,
686.00,  0.022,
684.00,  0.023,
682.00,  0.024,
680.00,  0.025,
678.00,  0.026,
676.00,  0.027,
674.00,  0.028,
672.00,  0.028,
670.00,  0.030,
668.00,  0.031,
666.00,  0.032,
664.00,  0.033,
662.00,  0.034,
660.00,  0.035,
658.00,  0.036,
656.00,  0.037,
654.00,  0.039,
652.00,  0.040,
650.00,  0.041,
648.00,  0.042,
646.00,  0.043,
644.00,  0.044,
642.00,  0.045,
640.00,  0.046,
638.00,  0.047,
636.00,  0.048,
634.00,  0.049,
632.00,  0.049,
630.00,  0.050,
628.00,  0.051,
626.00,  0.052,
624.00,  0.053,
622.00,  0.053,
620.00,  0.054,
618.00,  0.055,
616.00,  0.056,
614.00,  0.057,
612.00,  0.059,
610.00,  0.060,
608.00,  0.062,
606.00,  0.064,
604.00,  0.066,
602.00,  0.068,
600.00,  0.070,
598.00,  0.072,
596.00,  0.075,
594.00,  0.079,
592.00,  0.084,
590.00,  0.091,
588.00,  0.102,
586.00,  0.117,
584.00,  0.137,
582.00,  0.164,
580.00,  0.199,
578.00,  0.240,
576.00,  0.284,
574.00,  0.324,
572.00,  0.357,
570.00,  0.378,
568.00,  0.388,
566.00,  0.391,
564.00,  0.391,
562.00,  0.393,
560.00,  0.403,
558.00,  0.426,
556.00,  0.465,
554.00,  0.519,
552.00,  0.577,
550.00,  0.630,
548.00,  0.668,
546.00,  0.683,
544.00,  0.677,
542.00,  0.655,
540.00,  0.627,
538.00,  0.603,
536.00,  0.593,
534.00,  0.600,
532.00,  0.625,
530.00,  0.660,
528.00,  0.690,
526.00,  0.703,
524.00,  0.696,
522.00,  0.668,
520.00,  0.627,
518.00,  0.583,
516.00,  0.547,
514.00,  0.526,
512.00,  0.521,
510.00,  0.526,
508.00,  0.531,
506.00,  0.527,
504.00,  0.517,
502.00,  0.484,
500.00,  0.443,
498.00,  0.403,
496.00,  0.371,
494.00,  0.350,
492.00,  0.339,
490.00,  0.332,
488.00,  0.322,
486.00,  0.305,
484.00,  0.281,
482.00,  0.253,
480.00,  0.227,
478.00,  0.205,
476.00,  0.190,
474.00,  0.180,
472.00,  0.171,
470.00,  0.161,
468.00,  0.148,
466.00,  0.133,
464.00,  0.118,
462.00,  0.106,
460.00,  0.096,
458.00,  0.089,
456.00,  0.083,
454.00,  0.077,
452.00,  0.070,
450.00,  0.063,
448.00,  0.057,
446.00,  0.051,
444.00,  0.048,
442.00,  0.044,
440.00,  0.042,
438.00,  0.039,
436.00,  0.036,
434.00,  0.033,
432.00,  0.031,
430.00,  0.030,
428.00,  0.029,
426.00,  0.028,
424.00,  0.027,
422.00,  0.027,
420.00,  0.026,
418.00,  0.026,
416.00,  0.027,
414.00,  0.028,
412.00,  0.030,
410.00,  0.032,
408.00,  0.035,
406.00,  0.038,
404.00,  0.042,
402.00,  0.048,
400.00,  0.054,
