nm,Abs,
700.00,  0.015,
698.00,  0.015,
696.00,  0.016,
694.00,  0.017,
692.00,  0.018,
690.00,  0.018,
688.00,  0.019,
686.00,  0.020,
684.00,  0.021,
682.00,  0.022,
680.00,  0.023,
678.00,  0.023,
676.00,  0.024,
674.00,  0.025,
672.00,  0.026,
670.00,  0.027,
668.00,  0.028,
666.00,  0.029,
664.00,  0.029,
662.00,  0.030,
660.00,  0.031,
658.00,  0.032,
656.00,  0.033,
654.00,  0.034,
652.00,  0.035,
650.00,  0.036,
648.00,  0.037,
646.00,  0.038,
644.00,  0.039,
642.00,  0.040,
640.00,  0.041,
638.00,  0.041,
636.00,  0.042,
634.00,  0.043,
632.00,  0.044,
630.00,  0.045,
628.00,  0.045,
626.00,  0.046,
624.00,  0.047,
622.00,  0.048,
620.00,  0.048,
618.00,  0.049,
616.00,  0.050,
614.00,  0.051,
612.00,  0.052,
610.00,  0.053,
608.00,  0.055,
606.00,  0.056,
604.00,  0.058,
602.00,  0.059,
600.00,  0.061,
598.00,  0.063,
596.00,  0.065,
594.00,  0.068,
592.00,  0.072,
590.00,  0.078,
588.00,  0.087,
586.00,  0.098,
584.00,  0.114,
582.00,  0.136,
580.00,  0.164,
578.00,  0.197,
576.00,  0.232,
574.00,  0.264,
572.00,  0.290,
570.00,  0.307,
568.00,  0.316,
566.00,  0.318,
564.00,  0.317,
562.00,  0.319,
560.00,  0.327,
558.00,  0.346,
556.00,  0.377,
554.00,  0.421,
552.00,  0.467,
550.00,  0.510,
548.00,  0.540,
546.00,  0.552,
544.00,  0.547,
542.00,  0.530,
540.00,  0.507,
538.00,  0.488,
536.00,  0.479,
534.00,  0.486,
532.00,  0.506,
530.00,  0.534,
528.00,  0.558,
526.00,  0.569,
524.00,  0.563,
522.00,  0.540,
520.00,  0.507,
518.00,  0.472,
516.00,  0.443,
514.00,  0.426,
512.00,  0.422,
510.00,  0.426,
508.00,  0.430,
506.00,  0.427,
504.00,  0.418,
502.00,  0.393,
500.00,  0.360,
498.00,  0.328,
496.00,  0.302,
494.00,  0.286,
492.00,  0.277,
490.00,  0.271,
488.00,  0.263,
486.00,  0.250,
484.00,  0.231,
482.00,  0.209,
480.00,  0.188,
478.00,  0.170,
476.00,  0.158,
474.00,  0.150,
472.00,  0.143,
470.00,  0.135,
468.00,  0.125,
466.00,  0.113,
464.00,  0.102,
462.00,  0.092,
460.00,  0.085,
458.00,  0.079,
456.00,  0.074,
454.00,  0.070,
452.00,  0.064,
450.00,  0.059,
448.00,  0.054,
446.00,  0.050,
444.00,  0.047,
442.00,  0.045,
440.00,  0.043,
438.00,  0.041,
436.00,  0.039,
434.00,  0.037,
432.00,  0.035,
430.00,  0.035,
428.00,  0.034,
426.00,  0.033,
424.00,  0.033,
422.00,  0.033,
420.00,  0.033,
418.00,  0.033,
416.00,  0.034,
414.00,  0.035,
412.00,  0.037,
410.00,  0.039,
408.00,  0.041,
406.00,  0.044,
404.00,  0.047,
402.00,  0.052,
400.00,  0.050,
