nm,Abs,
700.00,  0.023,
698.00,  0.023,
696.00,  0.024,
694.00,  0.024,
692.00,  0.025,
690.00,  0.026,
688.00,  0.026,
686.00,  0.027,
684.00,  0.028,
682.00,  0.028,
680.00,  0.029,
678.00,  0.030,
676.00,  0.030,
674.00,  0.031,
672.00,  0.031,
670.00,  0.032,
668.00,  0.033,
666.00,  0.033,
664.00,  0.034,
662.00,  0.035,
660.00,  0.036,
658.00,  0.036,
656.00,  0.037,
654.00,  0.038,
652.00,  0.038,
650.00,  0.039,
648.00,  0.040,
646.00,  0.041,
644.00,  0.041,
642.00,  0.042,
640.00,  0.042,
638.00,  0.043,
636.00,  0.044,
634.00,  0.044,
632.00,  0.045,
630.00,  0.045,
628.00,  0.046,
626.00,  0.046,
624.00,  0.047,
622.00,  0.047,
620.00,  0.048,
618.00,  0.048,
616.00,  0.049,
614.00,  0.050,
612.00,  0.050,
610.00,  0.051,
608.00,  0.052,
606.00,  0.053,
604.00,  0.055,
602.00,  0.056,
600.00,  0.057,
598.00,  0.059,
596.00,  0.060,
594.00,  0.063,
592.00,  0.066,
590.00,  0.070,
588.00,  0.077,
586.00,  0.086,
584.00,  0.098,
582.00,  0.114,
580.00,  0.135,
578.00,  0.159,
576.00,  0.185,
574.00,  0.209,
572.00,  0.228,
570.00,  0.241,
568.00,  0.247,
566.00,  0.248,
564.00,  0.248,
562.00,  0.250,
560.00,  0.256,
558.00,  0.270,
556.00,  0.293,
554.00,  0.326,
552.00,  0.360,
550.00,  0.392,
548.00,  0.414,
546.00,  0.423,
544.00,  0.419,
542.00,  0.406,
540.00,  0.389,
538.00,  0.375,
536.00,  0.369,
534.00,  0.374,
532.00,  0.389,
530.00,  0.410,
528.00,  0.428,
526.00,  0.436,
524.00,  0.432,
522.00,  0.415,
520.00,  0.390,
518.00,  0.364,
516.00,  0.342,
514.00,  0.330,
512.00,  0.327,
510.00,  0.330,
508.00,  0.333,
506.00,  0.330,
504.00,  0.323,
502.00,  0.304,
500.00,  0.280,
498.00,  0.256,
496.00,  0.237,
494.00,  0.225,
492.00,  0.218,
490.00,  0.214,
488.00,  0.208,
486.00,  0.198,
484.00,  0.184,
482.00,  0.168,
480.00,  0.152,
478.00,  0.139,
476.00,  0.130,
474.00,  0.124,
472.00,  0.119,
470.00,  0.113,
468.00,  0.105,
466.00,  0.097,
464.00,  0.088,
462.00,  0.081,
460.00,  0.076,
458.00,  0.072,
456.00,  0.068,
454.00,  0.065,
452.00,  0.061,
450.00,  0.057,
448.00,  0.053,
446.00,  0.050,
444.00,  0.048,
442.00,  0.046,
440.00,  0.045,
438.00,  0.043,
436.00,  0.042,
434.00,  0.040,
432.00,  0.039,
430.00,  0.039,
428.00,  0.038,
426.00,  0.038,
424.00,  0.038,
422.00,  0.037,
420.00,  0.038,
418.00,  0.037,
416.00,  0.038,
414.00,  0.039,
412.00,  0.040,
410.00,  0.041,
408.00,  0.043,
406.00,  0.045,
404.00,  0.048,
402.00,  0.051,
400.00,  0.048,
