nm,Abs,
700.00,  0.015,
698.00,  0.016,
696.00,  0.017,
694.00,  0.018,
692.00,  0.020,
690.00,  0.021,
688.00,  0.022,
686.00,  0.023,
684.00,  0.024,
682.00,  0.026,
680.00,  0.027,
678.00,  0.028,
676.00,  0.030,
674.00,  0.031,
672.00,  0.032,
670.00,  0.034,
668.00,  0.035,
666.00,  0.037,
664.00,  0.038,
662.00,  0.039,
660.00,  0.041,
658.00,  0.042,
656.00,  0.044,
654.00,  0.046,
652.00,  0.047,
650.00,  0.048,
648.00,  0.050,
646.00,  0.051,
644.00,  0.052,
642.00,  0.053,
640.00,  0.055,
638.00,  0.056,
636.00,  0.057,
634.00,  0.058,
632.00,  0.059,
630.00,  0.060,
628.00,  0.061,
626.00,  0.061,
624.00,  0.062,
622.00,  0.063,
620.00,  0.065,
618.00,  0.066,
616.00,  0.067,
614.00,  0.068,
612.00,  0.070,
610.00,  0.072,
608.00,  0.074,
606.00,  0.076,
604.00,  0.078,
602.00,  0.081,
600.00,  0.083,
598.00,  0.086,
596.00,  0.090,
594.00,  0.095,
592.00,  0.101,
590.00,  0.110,
588.00,  0.122,
586.00,  0.140,
584.00,  0.164,
582.00,  0.196,
580.00,  0.238,
578.00,  0.287,
576.00,  0.339,
574.00,  0.388,
572.00,  0.426,
570.00,  0.451,
568.00,  0.463,
566.00,  0.467,
564.00,  0.466,
562.00,  0.469,
560.00,  0.481,
558.00,  0.509,
556.00,  0.555,
554.00,  0.619,
552.00,  0.688,
550.00,  0.751,
548.00,  0.795,
546.00,  0.813,
544.00,  0.805,
542.00,  0.779,
540.00,  0.746,
538.00,  0.717,
536.00,  0.704,
534.00,  0.714,
532.00,  0.743,
530.00,  0.783,
528.00,  0.818,
526.00,  0.834,
524.00,  0.825,
522.00,  0.791,
520.00,  0.743,
518.00,  0.691,
516.00,  0.648,
514.00,  0.623,
512.00,  0.617,
510.00,  0.623,
508.00,  0.629,
506.00,  0.624,
504.00,  0.613,
502.00,  0.574,
500.00,  0.525,
498.00,  0.477,
496.00,  0.438,
494.00,  0.414,
492.00,  0.400,
490.00,  0.392,
488.00,  0.380,
486.00,  0.360,
484.00,  0.331,
482.00,  0.298,
480.00,  0.266,
478.00,  0.240,
476.00,  0.222,
474.00,  0.210,
472.00,  0.199,
470.00,  0.187,
468.00,  0.171,
466.00,  0.154,
464.00,  0.136,
462.00,  0.121,
460.00,  0.110,
458.00,  0.101,
456.00,  0.094,
454.00,  0.087,
452.00,  0.078,
450.00,  0.070,
448.00,  0.062,
446.00,  0.056,
444.00,  0.051,
442.00,  0.048,
440.00,  0.044,
438.00,  0.041,
436.00,  0.037,
434.00,  0.034,
432.00,  0.031,
430.00,  0.030,
428.00,  0.028,
426.00,  0.027,
424.00,  0.026,
422.00,  0.026,
420.00,  0.025,
418.00,  0.026,
416.00,  0.027,
414.00,  0.028,
412.00,  0.030,
410.00,  0.032,
408.00,  0.035,
406.00,  0.039,
404.00,  0.044,
402.00,  0.050,
400.00,  0.063,
